"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:grade;')","[26193, 57956]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'org.semantictools.jsonld.impl.InMemoryVocabularyManagerTest')","[297, 33137]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '-->')","[15039, 16235, 46373, 47615]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""originalMsgId"" : {')","[20551, 52097]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '</p>')","[28013, 59846]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    http://www.apache.org/licenses/LICENSE-2.0')","[14857, 16053, 46184, 47426]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:endDateTime;')","[22839, 54473]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      po:GradebookItemEvent')","[12907, 44159]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:max;')","[26609, 58388]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""@id"" : ""po:taxon"",')","[20915, 52475]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:assignment rdf:type owl:FunctionalProperty ;')","[27597, 59414]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  ] ,')","[11815, 11919, 12023, 12335, 21955, 22059, 22163, 22267, 22371, 22475, 22787, 23671, 23775, 23879, 23983, 24087, 24191, 24295, 25647, 25751, 26245, 26557, 43025, 43133, 43241, 43565, 53555, 53663, 53771, 53879, 53987, 54095, 54419, 55337, 55445, 55553, 55661, 55769, 55877, 55985, 57389, 57497, 58010, 58334]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pm:Message rdf:type owl:Class;')","[12205, 43430]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'test(org.semantictools.jsonld.impl.LdParserImplTest)')","[198, 670]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""GradebookItemVitality is a value that specifies whether or not a given GradebookItem has been soft-deleted."" .')","[25023, 56741]"
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', '^/~')",[6824]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:GradebookItem rdf:type owl:Class;')","[21773, 53366]"
